state_codes,Median Income
AL,49936
AK,68734
AZ,62283
AR,49781
CA,70489
CO,73034
CT,72812
DE,65012
DC,85750
FL,54644
GA,55821
HI,80108
ID,58728
IL,70145
IN,59892
IA,68718
KS,63938
KY,54555
LA,49973
ME,58663
MD,86223
MA,86345
MI,60449
MN,71817
MS,42781
MO,61726
MT,57679
NE,67575
NV,61864
NH,81346
NJ,74176
NM,48283
NY,67274
NC,53369
ND,66505
OH,61633
OK,54434
OR,69165
PA,64524
RI,62266
SC,57444
SD,59463
TN,56060
TX,59785
UT,77067
VT,70066
VA,77151
WA,79726
WV,50573
WI,62629
WY,62539
